game_id,winner,placement,snake_id,snake_name,turns_survived,start_length,max_length,final_length,final_health,alive_at_end,survival_score,growth_score,performance_score
fe6631c8-5e98-4be7-96d1-3e1effbb355b,,1,2d2386e7-c4b8-4664-81e4-654a532dea63,Snake1,23,3,3,3,78,0,0.92,0.0,0.736
a452c677-f506-4238-8a90-bc3dd0bd80d1,,1,f0b4755e-5448-4ff4-9d6a-29a83c0b0e1a,Snake1,4,3,4,4,99,0,0.6667,0.2,0.5733
08396dae-9ea4-4640-8ec5-4ad17b000948,,1,e6f4e8a9-5e12-4ccf-baad-2a4def6f98a5,Snake1,2,3,3,3,99,0,0.5,0.0,0.4
d89b6b88-33bd-4c5f-8eda-bd042f81084f,,1,5f5f4417-73ac-47ac-9018-1d63448349cf,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
470cd4dd-baf8-4101-8e4b-cebd495c012a,,1,20321377-0259-4ed5-8e7f-60de6d8a9ae1,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
200db7be-52ab-4271-904d-19493bb0b982,,1,9e1581ee-ce35-490a-b43b-eda83097d654,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
5478b33e-7b12-48d2-b129-529d6ad504b3,,1,7d763096-f273-4b67-9452-9a2da1a13e99,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
2d54d0aa-1644-4302-a14b-0e7d972d1cb0,,1,e68a5581-d492-437f-8805-4f34aba192d8,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
0e42f1ba-3dcc-408d-8d0d-f41272c796f7,,1,f3192055-bac7-4240-bd16-840730c745cc,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
b7bee016-c736-4f67-89ea-977903f2680b,,1,2192ca9e-bad7-492f-b30b-3c449c4c43ea,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
fb410e07-9f84-4861-b70f-75849b8bad40,,1,bb1d7679-edd1-4a2a-8de7-2e7172d46b15,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
b4ca1617-f12a-4029-bba4-3c137cb02801,,1,772805ff-f475-40ab-94a9-ecc349d76070,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
cb11e45d-55fc-47ca-afe1-2356fea3b87d,,1,cc18f522-904b-4935-8dd5-f29a3b212fe9,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
98c29d14-4066-4153-8e0c-9788ab468522,,1,793bced1-e1b5-4b52-b238-667e9633b895,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
c8b335cf-eac7-4cad-b2f4-8bcac756a3ac,,1,e93b250e-5f4d-4ea0-bc4e-805a88f60c0b,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
997b741c-8898-4aae-a698-1db86122c1cd,,1,4e29d922-ac0b-4016-a64a-9f5b8f7433e8,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
b38956be-4f62-485e-9512-8e9e000f8c15,,1,07d96000-1d84-4376-9100-a6f5ad141366,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
1abbd568-e146-4668-adf0-56992e4e421a,,1,d7cc814d-c3f9-4cf1-b596-1c4d7aff75c2,Snake1,10,3,3,3,91,0,0.8333,0.0,0.6667
b877f06c-4928-4c9d-8db4-ec8640e9e54b,,1,159a8436-250a-4a01-a6a3-9461ef5b8bbd,Dawg,10,3,3,3,91,0,0.8333,0.0,0.6667
713df203-d18e-450b-b67b-b3ddb1e15fd1,,1,28dc5f4b-c98b-49fe-a491-38d1c03c0c76,Dawg,10,3,3,3,91,0,0.8333,0.0,0.6667
